contentKey,storyKey,storyContents,storyViewState,storyImageState
0,0,오늘 평범한 하루를 지내셨나봐요.,0,0
1,0,인상깊은 일은 없으셨나요?,7#2,1
2,0,어떤 일이 있었는지 들려주실 수 있나요?,8#0,2
3,0,제가 일기에 적어드릴게요.,8#1,3
4,0,평범한 하루였어도 인상깊은 일이 있어서 다행이에요.,8#0,0
5,0,때때로 삶에는 바람이 필요하니까요!,8#0,2
6,0,내일은 바람이 부는 하루가 되었음 좋겠네요.,9#0,0
7,0,아니면 바람을 찾아가는 것도 괜찮겠죠.,9#0,2
8,0,오늘도 수고 많으셨어요.,0,0
9,0,"비록 평범한 하루였지만, 도화지에도 여백은 필요하다고 생각해요.",0,2
10,0,그래도 남은 하루 동안 좋은 일 있었으면 좋겠네요!,0,2
11,1,음.. 기분좋은 하루는 아니셨나봐요.,0,4
12,1,저는 기분이 나쁠때 하늘을 보곤해요.,0,5
13,1,하늘엔 많은 색이 섞여있는 걸 아시나요?,0,0
14,1,"푸른 하늘이든, 어두운 하늘이든 여러 색이 섞여있어서 아름다운 것 같아요.",0,0
15,1,여러 색이 섞여있는 하루하루가 있어 하늘같은 삶이 되는 거겠지 해요.,0,5
16,1,"오늘 있었던 일, 말씀해 주실 수 있나요?",7#2,1
17,1,짜증을 확 말씀해주세요!,8#0,5
18,1,적어드릴게요.,8#1,3
19,1,오늘도 힘든 하루셨겠죠 ..,8#0,4
20,1,"말할 수 없는 날, 말하기 싫은 날 누구나 가지고 있더라구요.",9#0,0
21,1,그래도 확실한 건 친구님은 오늘 열심히 살았다는 거에요.,9#0,5
22,1,이렇게 저를 만나주시는 것만 해도 그래요.,9#0,2
23,1,정말 하루 지내주셔서 고마워요.,0,2
24,1,수고많으셨어요.,0,0
25,1,남은 하루는 편하게 지낼 수 있도록 구르미들끼리 응원할게요!,0,2
26,2,으으 불안한 하루를 보내셨나봐요.,0,6
27,2,혹은 불안한 일이라도 있으시려나요..,0,7
28,2,저 구르미를 보고 잠깐이라도 불안을 잊을 수 있길 바래요.,0,8
29,2,당장 지금은 저같은 구름하고 얘기하시는 것 뿐인걸요 ㅎㅎ.,0,2
30,2,하하,0,2
31,2,혹시 불안하게 만드는 일이 무엇인지 말해주실 수 있으신가요?,7#2,1
32,2,불안은 나누면 반이 된다네요.,8#0,5
33,2,말씀해주세요!,8#1,3
34,2,말씀해 주셔서 감사해요.,8#0,2
35,2,조금은 편해지셨길 바라네요.,8#0,0
36,2,이 고민은 비밀인가 보네요.,9#0,5
37,2,"비밀은 잘 품어두었다가, 말할 수 있을 때 말하면 된다고 생각해요.",9#0,0
38,2,불안한 하루셨을탠데도 오늘 저를 만나주셔서 고마워요.,0,0
39,2,언제나 고맙다고 생각하고 있어요. 저도 친구님이 오실지 매일 걱정되거든요…!,0,7
40,2,"흘러가는 대로 사는 구름일 뿐인 저는, 친구님의 이야기를 듣는게 특별한 하루인 거에요.",0,2
41,2,오늘도 하루 수고 많으셨어요.,0,0
42,2,잠은 푹 주무실 수 있길 바라네요. 자고나면 괜찮아질 수도 있으니까요…!,0,2
43,3,오늘은 기쁜 하루인가봐요! 야호!,0,9
44,3,저는 친구님이 기쁠때 기뻐요.,0,2
45,3,웃는 얼굴 보는게 얼마나 기쁜 일인데요!,0,2
46,3,오늘 있었던 기쁜 일 저에게도 들려주실 수 있나요?,7#2,8
47,3,두근두근되네요.,8#1,3
48,3,오늘 같은 기쁜 날은 기억에 담아둘 수 있으면 좋겠어요.,8#0,8
49,3,그렇군뇨! 알겠어요!,9#0,2
50,3,그래도 오늘 하루를 기쁘게 지내실 수 있어서 저도 너무 좋아요.,9#0,0
51,3,주무시기 전에 오늘 있었던 기쁜 일을 한번 더 떠올릴 수 있음 좋겠네요.,0,0
52,3,좋은 꿈 꾸며 잘 수 있을 것 같지 않나요?,0,2
53,3,오늘 하루도 수고하셨어요.,0,2
54,4,오늘은 슬프신가 보네요..,0,10
55,4,친구님의 슬픈 얼굴을 보니 저도 슬퍼져요.,,10
56,4,세상은 어째서 이렇게 슬픈일이 많은 걸까요.,,10
57,4,내일은 비가 내리겠어요…,,10
58,4,오늘 있으신 일 말씀해 주실 수 있나요?,7#2,7
